Date_Time (LST/LDT), Event, Speed,Station,Direction,Latitude,Longitude,Name
1/1/2019 1:06, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/1/2019 4:48, ebb,-1.2,1501,16,47.711,-122.5671,Agate Passage
1/1/2019 6:42, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/1/2019 10:24, flood,2.1,1501,203,47.711,-122.5671,Agate Passage
1/1/2019 12:42, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/1/2019 17:24, ebb,-3,1501,16,47.711,-122.5671,Agate Passage
1/1/2019 19:54, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/1/2019 23:18, flood,3.3,1501,203,47.711,-122.5671,Agate Passage
1/2/2019 2:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/2/2019 6:00, ebb,-1.3,1501,16,47.711,-122.5671,Agate Passage
1/2/2019 7:48, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/2/2019 11:24, flood,1.9,1501,203,47.711,-122.5671,Agate Passage
1/2/2019 13:24, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/2/2019 18:12, ebb,-3.1,1501,16,47.711,-122.5671,Agate Passage
1/2/2019 20:42, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/3/2019 0:06, flood,3.8,1501,203,47.711,-122.5671,Agate Passage
1/3/2019 3:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/3/2019 6:54, ebb,-1.4,1501,16,47.711,-122.5671,Agate Passage
1/3/2019 8:48, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/3/2019 12:12, flood,1.6,1501,203,47.711,-122.5671,Agate Passage
1/3/2019 14:06, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/3/2019 19:00, ebb,-3,1501,16,47.711,-122.5671,Agate Passage
1/3/2019 21:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/4/2019 0:54, flood,4,1501,203,47.711,-122.5671,Agate Passage
1/4/2019 4:18, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/4/2019 7:42, ebb,-1.5,1501,16,47.711,-122.5671,Agate Passage
1/4/2019 9:48, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/4/2019 13:00, flood,1.5,1501,203,47.711,-122.5671,Agate Passage
1/4/2019 14:48, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/4/2019 19:42, ebb,-2.9,1501,16,47.711,-122.5671,Agate Passage
1/4/2019 22:06, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/5/2019 1:36, flood,4.1,1501,203,47.711,-122.5671,Agate Passage
1/5/2019 4:54, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/5/2019 8:30, ebb,-1.6,1501,16,47.711,-122.5671,Agate Passage
1/5/2019 10:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/5/2019 13:42, flood,1.3,1501,203,47.711,-122.5671,Agate Passage
1/5/2019 15:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/5/2019 20:18, ebb,-2.7,1501,16,47.711,-122.5671,Agate Passage
1/5/2019 22:48, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/6/2019 2:24, flood,4,1501,203,47.711,-122.5671,Agate Passage
1/6/2019 5:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/6/2019 9:06, ebb,-1.6,1501,16,47.711,-122.5671,Agate Passage
1/6/2019 11:12, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/6/2019 14:18, flood,1.3,1501,203,47.711,-122.5671,Agate Passage
1/6/2019 16:12, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/6/2019 20:48, ebb,-2.5,1501,16,47.711,-122.5671,Agate Passage
1/6/2019 23:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/7/2019 3:00, flood,3.8,1501,203,47.711,-122.5671,Agate Passage
1/7/2019 6:00, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/7/2019 9:36, ebb,-1.6,1501,16,47.711,-122.5671,Agate Passage
1/7/2019 11:54, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/7/2019 13:36, flood,1.4,1501,203,47.711,-122.5671,Agate Passage
1/7/2019 16:54, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/7/2019 20:36, ebb,-2.4,1501,16,47.711,-122.5671,Agate Passage
1/8/2019 0:06, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/8/2019 3:36, flood,3.5,1501,203,47.711,-122.5671,Agate Passage
1/8/2019 6:36, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/8/2019 9:42, ebb,-1.6,1501,16,47.711,-122.5671,Agate Passage
1/8/2019 12:30, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/8/2019 14:12, flood,1.7,1501,203,47.711,-122.5671,Agate Passage
1/8/2019 17:36, slack,0,1501,0,47.711,-122.5671,Agate Passage
1/8/2019 20:42, ebb,-2.4,1501,16,47.711,-122.5671,Agate Passage
